City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Gannan,CN,2021-09-21 21:41:10,47.9147,123.5031,53.44,82,100,17.02
89,Kapaa,US,2021-09-21 21:41:11,22.0752,-159.319,82.72,70,1,4.0
90,Georgetown,MY,2021-09-21 21:36:50,5.4112,100.3354,76.89,82,20,6.91
91,Castro,BR,2021-09-21 21:41:11,-24.7911,-50.0119,67.6,87,84,10.42
92,Jian,CN,2021-09-21 21:41:11,27.1172,114.9793,70.48,69,0,1.83
93,Geraldton,AU,2021-09-21 21:41:12,-28.7667,114.6,54.01,35,0,13.8
94,Rawson,AR,2021-09-21 21:38:29,-43.3002,-65.1023,66.7,26,0,23.53
95,Hondo,JP,2021-09-21 21:41:12,32.45,130.2,73.35,84,91,6.53
96,Namibe,AO,2021-09-21 21:41:12,-15.1961,12.1522,62.46,88,28,1.41
97,Payyannur,IN,2021-09-21 21:41:13,12.1,75.2,75.79,91,71,5.84
98,Adrar,MR,2021-09-21 21:41:13,20.5022,-10.0711,92.82,14,0,17.63
99,Fortuna,US,2021-09-21 21:40:35,40.5982,-124.1573,93.18,34,1,3.0
100,Tasiilaq,GL,2021-09-21 21:39:44,65.6145,-37.6368,30.36,62,85,4.41
101,Charters Towers,AU,2021-09-21 21:41:13,-20.1,146.2667,55.27,24,16,22.95
102,Fuerte Olimpo,PY,2021-09-21 21:41:13,-21.0415,-57.8738,85.95,42,5,7.29
103,Port Alfred,ZA,2021-09-21 21:41:14,-33.5906,26.891,56.79,76,64,3.4
104,Talnakh,RU,2021-09-21 21:39:58,69.4865,88.3972,30.45,84,21,4.52
105,Saldanha,ZA,2021-09-21 21:41:14,-33.0117,17.9442,48.25,78,4,11.45
106,Savannah Bight,HN,2021-09-21 21:41:14,16.45,-85.85,91.45,75,39,14.18
107,Klaksvik,FO,2021-09-21 21:39:14,62.2266,-6.589,52.72,85,100,32.5
108,Bosaso,SO,2021-09-21 21:41:15,11.2842,49.1816,87.31,72,12,3.33
109,Vila,PT,2021-09-21 21:41:15,42.0304,-8.1588,56.28,77,1,3.65
110,Kroya,ID,2021-09-21 21:41:15,-7.6331,109.2461,76.15,88,100,1.9
111,Rio Gallegos,AR,2021-09-21 21:41:15,-51.6226,-69.2181,66.25,39,0,11.5
112,Ushtobe,KZ,2021-09-21 21:41:16,45.2514,77.9838,48.83,31,76,7.61
113,Half Moon Bay,US,2021-09-21 21:41:16,37.4636,-122.4286,102.24,33,1,0.0
114,Severo-Kurilsk,RU,2021-09-21 21:41:16,50.6789,156.125,50.54,80,27,11.05
115,Namatanai,PG,2021-09-21 21:41:17,-3.6667,152.4333,80.89,79,100,5.19
116,Richards Bay,ZA,2021-09-21 21:41:17,-28.783,32.0377,64.31,60,97,11.39
117,Faanui,PF,2021-09-21 21:41:17,-16.4833,-151.75,78.49,72,9,7.45
118,Hofn,IS,2021-09-21 21:41:17,64.2539,-15.2082,46.33,62,11,32.39
119,Chuy,UY,2021-09-21 21:41:18,-33.6971,-53.4616,51.91,81,7,8.84
120,Leningradskiy,RU,2021-09-21 21:41:18,69.3833,178.4167,26.1,85,99,12.46
121,Conceicao Do Araguaia,BR,2021-09-21 21:41:18,-8.2578,-49.2647,89.98,20,37,3.13
122,Saint George,US,2021-09-21 21:37:38,37.1041,-113.5841,91.87,13,1,1.99
123,Bubaque,GW,2021-09-21 21:41:19,11.2833,-15.8333,81.79,81,100,10.74
124,Cervo,ES,2021-09-21 21:41:19,43.6702,-7.4101,62.96,85,41,15.46
125,Sorong,ID,2021-09-21 21:41:19,-0.8833,131.25,76.69,91,89,7.76
126,Manta,EC,2021-09-21 21:41:19,-0.95,-80.7333,83.98,61,75,13.8
127,Kahului,US,2021-09-21 21:38:40,20.8947,-156.47,84.22,55,40,23.02
128,Aksarka,RU,2021-09-21 21:41:20,66.5606,67.7975,37.47,90,100,8.48
129,Yatou,CN,2021-09-21 21:41:20,37.15,122.3833,63.19,85,0,6.6
130,Zhezkazgan,KZ,2021-09-21 21:41:20,47.8043,67.7144,43.18,47,95,11.12
131,Lubumbashi,CD,2021-09-21 21:41:18,-11.6609,27.4794,65.26,25,1,2.57
132,Olafsvik,IS,2021-09-21 21:39:05,64.8945,-23.7142,40.24,79,100,18.21
133,Hami,CN,2021-09-21 21:41:21,42.8,93.45,68.36,27,94,5.12
134,Port Hawkesbury,CA,2021-09-21 21:41:22,45.6169,-61.3485,68.92,72,1,1.99
135,Saint-Francois,FR,2021-09-21 21:41:22,46.4154,3.9054,53.47,100,0,1.14
136,Salalah,OM,2021-09-21 21:41:22,17.0151,54.0924,80.69,83,75,5.75
137,Uyskoye,RU,2021-09-21 21:41:23,54.3775,60.0047,36.09,72,89,2.71
138,Boralday,KZ,2021-09-21 21:41:23,43.3578,76.8594,49.86,46,75,2.24
139,Alice Springs,AU,2021-09-21 21:41:23,-23.7,133.8833,40.55,60,43,6.91
140,Jamestown,US,2021-09-21 21:41:22,42.097,-79.2353,72.99,77,90,5.01
141,Lekoni,GA,2021-09-21 21:41:24,-1.5843,14.2591,74.5,78,69,7.94
142,Maputo,MZ,2021-09-21 21:41:24,-25.9653,32.5892,64.22,70,75,11.01
143,Lasa,IT,2021-09-21 21:41:24,46.6166,10.7002,58.08,82,29,4.12
144,Naze,JP,2021-09-21 21:41:24,28.3667,129.4833,76.26,78,8,4.16
145,Saskylakh,RU,2021-09-21 21:41:25,71.9167,114.0833,31.57,89,100,7.87
146,Upata,VE,2021-09-21 21:41:25,8.0086,-62.3989,78.53,73,100,3.58
147,Teya,RU,2021-09-21 21:41:25,60.3778,92.6267,34.27,99,100,3.06
148,Caravelas,BR,2021-09-21 21:41:25,-17.7125,-39.2481,75.42,85,7,13.2
149,Kaoma,ZM,2021-09-21 21:41:26,-14.7833,24.8,68.9,20,3,6.31
150,Eyl,SO,2021-09-21 21:41:26,7.9803,49.8164,77.5,74,67,19.57
151,Bredasdorp,ZA,2021-09-21 21:41:26,-34.5322,20.0403,48.27,87,4,4.61
