City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
104,Labuhan,ID,81.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
105,Galdar,ES,77.5,few clouds,28.147,-15.6502,Hostel Guide
114,San Patricio,US,82.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
121,Kavaratti,IN,82.51,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
128,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
132,Omboue,GA,79.74,broken clouds,-1.5746,9.2618,Hotel Olako
135,Guerrero Negro,MX,76.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
137,Carmen,MX,82.44,few clouds,18.6333,-91.8333,Hotel Lossandes
143,Illapel,CL,80.51,clear sky,-31.6308,-71.1653,Hotel Londres
149,Sao Jose Da Coroa Grande,BR,82.83,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
151,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
157,Razole,IN,80.89,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
158,Saint George,US,77.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Ahuimanu,US,76.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
162,Morant Bay,JM,89.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
167,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
170,Juba,SS,82.18,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
172,Lubango,AO,89.46,haze,-14.9172,13.4925,Hotel Serra da Chela
173,Hwange,ZW,82.94,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
174,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Sinnamary,GF,87.8,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
178,Sampang,ID,82.35,overcast clouds,-7.1872,113.2394,sekretariat IKA STAIN
181,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
192,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
193,Salinopolis,BR,86.63,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
195,Cockburn Town,TC,82.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
204,Acarau,BR,88.48,scattered clouds,-2.8856,-40.12,castelo pizzaria
205,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
208,Marsh Harbour,BS,85.26,broken clouds,26.5412,-77.0636,Abaco Beach Resort
210,Kulhudhuffushi,MV,82.99,few clouds,6.6221,73.07,Hondaafushi Island Resort
214,Kutum,SD,87.69,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
215,Cabo San Lucas,MX,87.15,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
218,Kudahuvadhoo,MV,83.14,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
221,Tripoli,LY,82.47,broken clouds,32.8752,13.1875,Hotel Al-Safwa
222,Kiomboi,TZ,75.97,overcast clouds,-4.2667,34.3667,Reyd's Executive Lodge
229,Cosala,MX,82.51,few clouds,24.4125,-106.6908,Hotel Real del Conde
234,Yenagoa,NG,76.84,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
239,Bambanglipuro,ID,77.25,overcast clouds,-7.95,110.2833,Puri Brata
246,Orodara,BF,88.18,scattered clouds,10.9492,-4.9342,Bkf Orodara
253,Achhnera,IN,84.2,overcast clouds,27.1833,77.7667,Sabji Mandi Mahaur Nivas
254,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
257,Itarema,BR,88.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
260,Guarapari,BR,75.09,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
263,Rio Claro,BR,80.42,few clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
266,Yuzhou,CN,75.47,light rain,34.1628,113.4639,Hancheng Wen Yuan Ge Hotel
268,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
269,Castenaso,IT,75.16,clear sky,44.5089,11.4698,Hotel NH Bologna Villanova
276,Mwinilunga,ZM,83.19,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
281,Dickinson,US,80.19,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
282,Hit,IQ,89.87,clear sky,33.6416,42.8251,صالون زيرو
284,Tamandare,BR,83.05,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
285,Show Low,US,75.72,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
286,Annau,TM,87.3,clear sky,37.8876,58.516,Buzmein Sokak
288,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
291,Brigantine,US,82.04,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
297,Indramayu,ID,81.23,broken clouds,-6.3264,108.32,Grand Trisula Hotel
298,Palmer,US,80.15,broken clouds,42.1584,-72.3287,Wedgewood Motel
300,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
304,Terracina,IT,80.83,clear sky,41.2863,13.2217,Grand Hotel Palace
308,Naze,JP,75.67,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
315,Sao Filipe,CV,80.24,few clouds,14.8961,-24.4956,Hotel Xaguate
320,Upata,VE,87.26,clear sky,8.0086,-62.3989,Posada Villa Nela
322,Somerville,US,80.28,broken clouds,42.3876,-71.0995,La Quinta Inn & Suites by Wyndham Boston Somerville
334,Sidlaghatta,IN,76.89,overcast clouds,13.3881,77.8628,VASU KABBA AND EGG RICE HOTEL
337,Bubaque,GW,82.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
338,Batticaloa,LK,83.53,overcast clouds,7.7102,81.6924,Grand Star Guest House
343,Laguna,US,81.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
344,La Primavera,CO,80.44,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
345,Rapar,IN,84.7,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
346,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
348,Ardmore,US,75.65,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
355,Takoradi,GH,79.84,overcast clouds,4.8845,-1.7554,Raybow International Hotel
358,Semnan,IR,82.9,clear sky,35.5729,53.3971,Semnan Tourist Hotel
363,Meulaboh,ID,79.0,overcast clouds,4.1363,96.1285,Kost Pria
371,Road Town,VG,87.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
373,Motril,ES,89.28,overcast clouds,36.7507,-3.5179,Hostal Tropical
376,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
378,Cradock,ZA,82.38,broken clouds,-32.1642,25.6192,Die Hoekhuis
386,Carutapera,BR,88.77,overcast clouds,-1.195,-46.02,Lidera
387,Xucheng,CN,75.9,light rain,20.35,110.1288,Haixing Hotel
388,Issia,CI,86.86,broken clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
389,Namatanai,PG,78.58,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
390,Palmas Bellas,PA,84.11,broken clouds,9.2319,-80.0867,Estación de Chagres
393,Wanning,CN,81.05,moderate rain,18.8003,110.3967,Paradise Hotel
394,Lianzhou,CN,76.51,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
396,Chapada Dos Guimaraes,BR,82.06,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
398,Rayagada,IN,77.0,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
401,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
405,Lucapa,AO,83.75,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
407,Padampur,IN,78.58,few clouds,29.6833,73.6167,Sidhu wali dhani
409,Trairi,BR,87.98,broken clouds,-3.2778,-39.2689,janelas do mar
412,Domoni,KM,77.11,clear sky,-12.2569,44.5319,Al Djadid
413,Suruc,TR,79.0,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
415,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
419,Am Timan,TD,78.87,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
420,Manavalakurichi,IN,82.49,broken clouds,8.1333,77.3,Udaya Boys Hostel
422,Mahibadhoo,MV,83.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
